id,name,countries,degree_of_endangerment,number_of_speakers,latitude,longitude
2281,Orang Kanaq,Malaysia,Extinct,0,1.8858,103.9814
2606,Palumata,Indonesia,Extinct,0,-3.1569,126.0516
962,Panobo,Peru,Extinct,0,-6.97,-74.9267
2044,Papora,China,Extinct,0,24.2006,120.6037
2399,Pentlatch,Canada,Extinct,0,49.6971,-125.0033
547,Phalok,Thailand,Extinct,0,18.9582,98.789
645,Pijao,Colombia,Extinct,0,3.9519,-75.0146
2608,Piru,Indonesia,Extinct,0,-3.05,128.1747
403,Polabian,Germany,Extinct,0,53.094,11.3461
1610,Pumpokol,Russian Federation,Extinct,0,58.6397,87.517
853,Purisimeño,United States of America,Extinct,0,34.6608,-120.4711
551,Pyu,Myanmar,Extinct,0,18.9424,94.8751
1549,Quapaw,United States of America,Extinct,0,36.9494,-94.7877
791,Quileute,United States of America,Extinct,0,47.9083,-124.6365
87,Qwarenya,Ethiopia,Extinct,0,9.9207,38.3828
443,Rangkas,India,Extinct,0,30.0358,80.1342
1288,Sanhaja of Srair,Morocco,Critically endangered,0,34.8318,-4.9658
1314,Sei,Sierra Leone,Extinct,0,7.5857,-12.5354
1291,Sened,Tunisia,Extinct,0,35.5858,10.8984
558,Sengmai,India,Extinct,0,24.6445,94.0567
866,Serrano,United States of America,Extinct,0,34.1212,-117.2221
2621,Seru,Malaysia,Extinct,0,1.9195,111.2049
689,Seward Peninsula Inupiaq (Big Diomede Island),Russian Federation,Extinct,0,65.7853,-169.0686
108,Singa,Uganda,Extinct,0,-0.1373,33.695
2049,Siraiya,China,Extinct,0,23.0013,120.3634
2161,Sishee,New Caledonia (France),Extinct,0,-21.7193,165.6738
806,Siuslaw,United States of America,Extinct,0,43.3773,-124.2371
413,Slovincian,Poland,Extinct,0,54.6484,17.2485
832,Southeastern Pomo,United States of America,Extinct,0,39.016,-122.6779
499,Southern Kamchadal,Russian Federation,Extinct,0,52.6963,156.7089
677,Southern Khanty,Russian Federation,Extinct,0,60.4301,69.9829
678,Southern Mansi,Russian Federation,Extinct,0,58.4362,65.5664
1449,Soyot,Russian Federation,Extinct,0,52.0406,101.0659
1896,Subtiaba,Nicaragua,Extinct,0,12.5266,-86.667
560,Taman,Myanmar,Extinct,0,25.1651,95.2514
2568,Tandia,Indonesia,Extinct,0,-2.8552,134.522
2043,Taokas,China,Extinct,0,24.4471,120.7232
2612,Te'un (Te'un Island),Indonesia,Extinct,0,-6.9809,129.1394
2064,Tetete,Ecuador,Extinct,0,-0.0109,-76.5966
799,Tillamook,United States of America,Extinct,0,45.3449,-123.5309
1738,Togoyo,Sudan,Extinct,0,8.5049,24.7961
16,Tonjon,Côte d'Ivoire,Extinct,0,8.4397,-4.3807
1815,Torá,Brazil,Extinct,0,-6.6646,-61.4135
2400,Tsetsaut,Canada,Extinct,0,55.936,-129.9911
1534,Tunica,United States of America,Extinct,0,31.1262,-92.0673
778,Tututni,United States of America,Extinct,0,42.5756,-124.0688
794,Twana,United States of America,Extinct,0,47.3344,-123.1607
644,Ubykh (Caucasus),Russian Federation,Extinct,0,43.5585,39.8597
1062,Ubykh (Turkey),Turkey,Extinct,0,40.0402,28.0096
1811,Umutina,Brazil,Extinct,0,-15.0425,-57.1026
797,Upper Chehalis,United States of America,Extinct,0,46.4111,-122.9949
777,Upper Umpqua,United States of America,Extinct,0,43.4476,-123.77
2709,Uruava,Papua New Guinea,Extinct,0,-5.9821,155.3137
1624,Urupá,Brazil,Extinct,0,-10.898,-61.809
856,Ventureño,United States of America,Extinct,0,34.2809,-119.2979
662,Vilela,Argentina,Extinct,0,-26.9808,-59.6777
319,Wanai,Venezuela (Bolivarian Republic of),Critically endangered,0,7.1117,-66.7199
2086,Wangkumara,Australia,Critically endangered,0,-27.2064,142.4597
850,Wappo,United States of America,Extinct,0,38.8701,-122.5154
722,Western Mansi,Russian Federation,Extinct,0,61.1432,62.4023
774,Wiyot,United States of America,Extinct,0,40.5984,-124.2519
1881,Xakriabá,Brazil,Extinct,0,-14.5306,-44.0438
94,Yaaku,Kenya,Extinct,0,0.4394,37.1777
754,Yameo,Peru,Extinct,0,-4.4449,-73.5644
252,Yir Yoront,Australia,Extinct,0,-16.3095,141.4489
2713,Yoba,Papua New Guinea,Extinct,0,-10.0337,149.2272
1601,Yola,Ireland,Extinct,0,52.2266,-6.4846
509,Yug,Russian Federation,Extinct,0,61.0901,88.1982
849,Yuki,United States of America,Extinct,0,37.4336,-118.5908
510,Yurats,Russian Federation,Extinct,0,69.2872,81.914
610,Yurutí (Brazil),Brazil,Extinct,0,-0.1318,-69.1699
21,Zeem,Nigeria,Extinct,0,9.8389,9.0911
131,|'Auni,South Africa,Extinct,0,-26.0105,20.363
136,|Xam,South Africa,Extinct,0,-32.2853,20.759
